NAME,LAT,LON,ADDRESS,ZIP,OPEN_HRS_WK,VIS_FLAG,VIS_01,VIS_02,VIS_03,VIS_04,VIS_05,VIS_06,VIS_07,VIS_08,VIS_09,VIS_10,VIS_11,VIS_12,VIS_TOTAL,CIRC_01,CIRC_02,CIRC_03,CIRC_04,CIRC_05,CIRC_06,CIRC_07,CIRC_08,CIRC_09,CIRC_10,CIRC_11,CIRC_12,CIRC_TOTAL,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,HP_08,HP_09,HP_10,HP_11,HP_12,HP_TOTAL,HF_01,HF_02,HF_03,HF_04,HF_05,HF_06,HF_07,HF_08,HF_09,HF_10,HF_11,HF_12,HF_TOTAL,CS_01,CS_02,CS_03,CS_04,CS_05,CS_06,CS_07,CS_08,CS_09,CS_10,CS_11,CS_12,CS_TOTAL
Water Works,41.897584354,-87.6231487711,163 E. Pearson Street,60611,60,NO,3923,3461,4287,3031,4159,4275,4418,4544,4134,4388,3868,3863,48351,156,162,182,118,183,215,220,233,210,212,168,156,2215,4512,3616,4621,1449,4362,4450,4192,4792,4325,4547,4140,4166,48918,341,356,405,379,395,519,475,472,431,478,374,368,4993,,,,,,,,,,,,,
West Belmont,41.9366621187,-87.7858914501,3104 N. Narragansett Avenue,60634,48,NO,6975,6616,7411,6991,6991,7394,9709,10736,7252,7956,7067,5710,90808,7802,6934,7883,6224,5858,6666,7520,6900,6807,6825,6878,5519,81816,131,108,137,83,92,86,101,79,89,87,106,69,1168,2216,1964,2063,585,2029,1895,2212,2424,2031,2211,2147,1895,23826,1744,1429,1606,1704,1578,1620,1850,2204,1500,1780,1579,1447,20041
West Chicago Avenue,41.8950465088,-87.74732954,4856 W. Chicago Avenue,60651,48,YES,3360,5418,5296,5301,5487,5976,5951,6603,5935,6869,5988,5466,67650,1060,1061,1101,1084,946,936,1084,1079,909,1218,1048,1156,12682,14,15,11,10,20,24,20,13,16,23,28,12,206,507,428,521,157,427,515,543,586,511,531,551,590,5858,1949,1760,1668,1689,1746,1660,1754,2033,1747,1948,1804,1547,21305
West Englewood,41.7793343588,-87.6681215909,1745 W. 63rd Street,60636,48,YES,8702,8269,8930,8436,8040,9400,8249,10713,8122,9989,8559,7926,105335,1381,1224,1296,1208,1182,1506,1361,1567,1402,1620,1685,1511,16943,59,95,73,56,34,59,58,54,55,128,65,64,800,547,487,588,170,457,511,481,554,449,528,637,568,5951,2586,2341,2565,2590,2338,2687,2415,2680,2258,2353,2392,2214,29419
West Lawn,41.7786622196,-87.7235385705,4020 W. 63rd Street,60629,48,NO,5871,5785,6581,6228,6367,8333,7319,8531,6543,6628,5711,4626,78523,4673,4122,4678,4588,3750,4250,4825,4778,3848,4532,3942,3062,51048,126,101,124,64,76,88,63,73,41,61,28,32,877,1368,1061,1446,506,1261,1405,1305,1363,1463,1382,1229,1016,14744,1789,1686,1921,1685,1696,1625,1374,1357,1184,1651,1514,1369,18851
West Pullman,41.6778508718,-87.6429996833,830 W. 119th Street,60643,48,YES,9674,8774,9498,10073,10443,10122,10162,10305,10307,12610,11409,7692,121069,2574,2519,2694,2656,2442,2809,2584,2540,2434,2537,2097,1950,29836,164,139,140,147,65,105,90,94,69,99,104,51,1267,943,868,959,336,647,876,861,928,869,861,718,692,9513,4125,3755,3851,4123,4047,4257,4574,4746,4280,4123,3952,2918,48751
West Town,41.8957521891,-87.6682665908,1625 W. Chicago Avenue,60622,48,NO,10157,8899,11229,8880,9916,9106,10644,10950,9284,9513,8657,7690,114925,5799,5610,6640,5496,5838,6086,6159,6155,5850,5605,5633,4790,69661,72,89,81,54,67,55,44,62,36,59,33,41,693,3355,2822,3474,925,3257,3334,2882,3544,3309,3282,3027,2863,36277,2240,2023,2495,2225,2432,2112,2471,2306,2131,2063,1700,1346,25544
"Whitney M. Young, Jr.",41.7510636097,-87.6149506536,7901 S. King Drive,60619,48,NO,7445,7151,7527,7425,7241,7252,7378,7360,1723,0,0,0,60502,1955,1591,1626,1847,1819,1779,1862,1680,388,0,0,0,14547,40,21,52,34,19,17,30,30,2,0,0,0,245,781,531,800,221,688,718,676,636,120,0,0,0,5179,2975,2590,2721,2820,2653,2636,2615,3110,712,0,0,0,22832
Woodson Regional,41.7209348129,-87.6430939522,9525 S. Halsted Street,60628,68,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrightwood-Ashburn,41.7383239979,-87.7021301056,8530 S. Kedzie Avenue,60652,48,YES,3268,4180,5315,5660,4875,4566,3812,4768,5688,6087,4018,3995,56232,2068,1911,2097,1907,1565,1929,1904,2074,1813,2052,1646,1507,22473,43,52,60,19,30,54,27,42,43,57,37,23,487,832,706,962,307,748,915,778,871,911,1031,802,834,9563,1629,1550,1650,1463,1560,1489,1337,1559,1495,1590,1407,1211,17940
