NAME,LAT,LON,ADDRESS,ZIP,OPEN_HRS_WK,VIS_FLAG,VIS_01,VIS_02,VIS_03,VIS_04,VIS_05,VIS_06,VIS_07,VIS_08,VIS_09,VIS_10,VIS_11,VIS_12,VIS_TOTAL,CIRC_01,CIRC_02,CIRC_03,CIRC_04,CIRC_05,CIRC_06,CIRC_07,CIRC_08,CIRC_09,CIRC_10,CIRC_11,CIRC_12,CIRC_TOTAL,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,HP_08,HP_09,HP_10,HP_11,HP_12,HP_TOTAL,HF_01,HF_02,HF_03,HF_04,HF_05,HF_06,HF_07,HF_08,HF_09,HF_10,HF_11,HF_12,HF_TOTAL,CS_01,CS_02,CS_03,CS_04,CS_05,CS_06,CS_07,CS_08,CS_09,CS_10,CS_11,CS_12,CS_TOTAL
Jeffery Manor,41.7132617629,-87.5654920693,2401 E. 100th Street,60617,48,YES,5191,5487,6331,5442,6552,6111,6100,5490,5736,6513,5700,6051,70704,922,742,696,740,608,725,770,770,935,766,737,646,9057,14,15,7,20,9,8,5,10,12,9,23,14,146,484,403,492,116,338,443,384,366,409,437,396,315,4610,1301,1173,1228,1176,1175,1216,1346,1252,1269,1237,1035,937,14345
Kelly,41.7821716332,-87.6374078653,6151 S. Normal Boulevard,60621,48,YES,5008,4858,4965,4602,4946,5987,6127,6041,5223,3349,2518,4950,58574,978,839,950,774,905,996,1004,1109,811,1009,933,852,11160,42,20,37,23,43,52,36,57,91,68,46,68,583,397,378,396,109,315,421,398,321,420,470,373,342,4346,1100,933,935,960,981,1066,1152,1430,1087,905,938,854,12341
King,41.8318013996,-87.6177606656,3436 S. King Drive,60616,48,NO,5160,5861,5621,5293,5778,6221,6162,6733,5537,5978,5283,4444,68071,2746,2109,2450,2208,2182,2560,2431,2769,2548,2854,2051,2019,28927,50,15,38,7,9,4,7,24,25,39,11,7,236,870,515,887,254,760,871,1031,1030,968,1173,911,849,10076,2105,1813,2135,1995,2038,2207,2085,2288,2120,1966,1854,1676,24282
Legler,41.8793386585,-87.7255603462,115 S. Pulaski Road,60624,48,NO,7313,6426,5873,6891,6973,6794,8096,8990,6674,7700,6331,5692,83753,1357,1038,1077,1095,857,1151,1153,1110,905,1007,972,798,12520,102,76,67,53,64,39,36,72,60,79,81,45,774,502,355,376,128,444,407,419,456,445,469,414,358,4788,2480,2066,2036,2141,2162,2026,2314,2649,2055,2302,2108,1953,26292
Lincoln Belmont,41.9403135956,-87.6707577128,1659 W. Melrose Street,60657,48,YES,12639,12112,14034,12105,12782,14336,14105,15491,11484,11914,11636,10386,153024,13221,12355,14291,12026,12559,13774,13653,13992,12539,12392,12800,10872,154474,171,167,172,113,123,104,108,114,134,133,114,139,1592,6036,5217,5940,1898,5526,5853,5443,6123,5457,6039,5725,5399,64749,1299,1267,1358,1405,1403,1432,1371,1462,1255,1222,1111,1031,15616
Lincoln Park,41.925591694,-87.6581132451,1150 W. Fullerton Avenue,60614,48,NO,10351,9331,10863,9436,9325,9927,9842,11349,9482,11082,10322,8575,119885,10057,9079,10365,9273,9381,10090,10551,10673,9558,10005,9680,9121,117833,224,208,303,198,242,216,238,280,301,283,232,176,2901,5515,4343,5051,1601,4855,5220,4926,5428,5016,5383,4772,4640,56847,1524,1418,1508,1276,1359,1379,1342,1487,1344,1354,1428,1121,16540
Little Village,41.8495331,-87.7051215,2311 S. Kedzie Avenue,60623,48,YES,8774,8113,8823,8589,9593,11845,12188,13427,10349,11432,9428,7790,120351,5735,4749,5270,5210,4804,4426,5161,5317,5175,5790,5308,4297,61242,76,54,59,30,84,116,86,82,92,41,70,67,857,1615,1132,1402,582,1297,1335,1385,1370,1244,1486,1228,1224,15159,2957,2601,2741,2738,2637,2826,2758,3215,3088,2904,2455,2203,33123
Logan Square,41.9250521008,-87.7033941093,3030 W. Fullerton Avenue,60647,48,YES,11741,10637,12820,11643,11013,12412,13759,14556,11412,11764,11970,10501,144228,11141,10355,11892,9932,10069,11549,11790,11462,10819,10818,10555,8932,129314,224,226,252,143,129,170,184,206,173,188,183,241,2319,5757,4817,5572,1624,5180,5091,5216,5646,5075,5301,5223,4599,59244,2176,1845,2111,2227,1951,2005,2183,2340,1917,1874,1831,1645,24105
Lozano,41.8575220096,-87.6609371163,1805 S. Loomis Street,60608,48,NO,10951,9949,11720,12281,10247,11455,10858,11958,10697,10603,10610,9461,130790,4690,4101,5173,5534,4184,5059,5089,5246,4549,4707,4691,3646,56669,77,90,125,59,64,87,62,53,41,74,60,54,846,1796,1325,1858,610,1406,1733,1469,1874,1612,1478,1728,1414,18243,2640,2379,2704,2608,1821,2512,2446,2541,2306,2456,2092,1917,28422
Manning,41.8811857042,-87.6791421111,6 S. Hoyne Avenue,60612,48,YES,7601,6904,8348,7687,7348,6920,7018,7952,6994,8249,8328,7695,91044,2340,1997,2320,2429,2105,2684,2353,2658,2790,2576,2436,2345,29033,66,61,74,54,15,61,41,68,72,45,52,33,642,991,761,994,227,911,1050,1005,1166,1111,1063,985,891,11254,1720,1502,1773,1753,1685,1618,1670,2099,1838,1736,1545,1484,20423
Mayfair,41.9683544565,-87.7381618989,4400 W. Lawrence Avenue,60630,48,NO,4159,4337,4953,4429,4510,5017,5516,5808,5148,5115,5402,4579,58973,4893,4404,5199,4335,4131,5033,5049,5272,4698,5007,4481,4048,56550,104,97,96,69,80,94,84,103,93,52,57,72,1001,2427,1949,2303,728,2069,2086,2226,2386,2181,2287,2119,2079,24848,1071,1111,1142,1083,1179,1005,1081,1220,1017,1042,1071,868,12890
McKinley Park,41.8304475002,-87.6733916543,1915 W. 35th Street,60609,48,YES,7960,7987,8880,7862,8727,10056,10592,11373,9146,10032,4548,8119,105282,5830,5592,6332,5874,5708,6004,5965,5950,5266,5876,5309,4873,68579,145,139,160,127,90,98,127,115,95,118,82,71,1367,2055,1629,2281,699,1873,1975,1926,2239,1933,2182,2006,1945,22706,1403,1414,1338,1317,1386,1460,1177,1384,1317,1222,1153,968,15539
Merlo,41.9400842086,-87.646143227,644 W. Belmont Avenue,60657,48,NO,8465,8067,8942,7825,8502,8129,8195,9627,8143,8166,7821,7488,99370,8128,7446,8751,7102,8065,7862,8108,8844,7964,8011,8356,6840,95477,99,120,130,101,79,88,93,115,56,58,63,45,1047,6000,5150,5737,1823,5282,5163,5169,5643,4773,5314,5543,4650,60372,1322,1309,1460,1347,1394,1330,1277,1410,1319,1188,1224,1142,15722
Mount Greenwood,41.6929190986,-87.7010378855,11010 S. Kedzie Avenue,60655,48,YES,5379,5340,6115,5672,5884,6485,7652,7614,5907,6322,5172,4737,72279,5172,4636,5789,5052,5379,6478,6732,6011,4954,5360,4914,4486,64963,385,367,386,225,322,208,184,393,344,276,263,334,3687,2440,2028,2625,794,2535,2841,2684,2892,2745,2812,2506,2315,29152,1040,962,1032,957,997,987,1000,1039,1062,948,974,882,11880
